,DESA,PROVINSI,KAB_KOTA,KECAMATAN
8479,TENGILIS MEJOYO,JAWA TIMUR,SURABAYA,TENGGILIS MEJOYO
8480,PANJANG JIWO,JAWA TIMUR,SURABAYA,TENGGILIS MEJOYO
8481,GUNUNG ANYAR,JAWA TIMUR,SURABAYA,GUNUNG ANYAR
8482,RUNGKUT MENANGGAL,JAWA TIMUR,SURABAYA,GUNUNG ANYAR
8483,GUNUNG ANYAR TAMBAK,JAWA TIMUR,SURABAYA,GUNUNG ANYAR
8484,MULYOREJO,JAWA TIMUR,SURABAYA,MULYOREJO
8485,KEJAWAAN PUTIH TAMBA,JAWA TIMUR,SURABAYA,MULYOREJO
8486,SUKOMANUNGGAL,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL
8487,TANJUNGSARI,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL
8488,SONOKWIJENAN,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL
8489,PUTAT GEDE,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL
8490,SIMOMULYO,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL
8491,SIMOMULYO BARU,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL
8492,BABAT JERAWAT,JAWA TIMUR,SURABAYA,PAKAL
8493,SAMBIKEREP,JAWA TIMUR,SURABAYA,SAMBIKEREP
8494,MADE,JAWA TIMUR,SURABAYA,SAMBIKEREP
8495,BRINGIN,JAWA TIMUR,SURABAYA,SAMBIKEREP
