tanggal,harga
06-Aug-12,13935
07-Aug-12,14036
08-Aug-12,14140
09-Aug-12,14423
10-Aug-12,14455
11-Aug-12,15056
12-Aug-12,15533
13-Aug-12,16360
14-Aug-12,16699
15-Aug-12,17042
16-Aug-12,17129
17-Aug-12,17028
18-Aug-12,17867
19-Aug-12,18418
20-Aug-12,18033
21-Aug-12,18404
22-Aug-12,18166
23-Aug-12,17774
24-Aug-12,17152
25-Aug-12,17010
26-Aug-12,16643
27-Aug-12,15560
28-Aug-12,15211
29-Aug-12,15320
30-Aug-12,14835
31-Aug-12,14548
01-Sep-12,14496
02-Sep-12,14400
03-Sep-12,13946
04-Sep-12,14010
05-Sep-12,13883
06-Sep-12,14002
07-Sep-12,14072
08-Sep-12,14007
09-Sep-12,13969
10-Sep-12,13521
11-Sep-12,13663
12-Sep-12,13680
13-Sep-12,13327
14-Sep-12,13226
15-Sep-12,13269
16-Sep-12,13265
17-Sep-12,12892
18-Sep-12,12799
19-Sep-12,12713
20-Sep-12,12437
21-Sep-12,12483
22-Sep-12,12441
23-Sep-12,12478
24-Sep-12,12465
25-Sep-12,12360
26-Sep-12,12313
27-Sep-12,12293
28-Sep-12,12228
29-Sep-12,12327
30-Sep-12,12320
01-Oct-12,12559
02-Oct-12,12620
03-Oct-12,12856
04-Oct-12,12929
05-Oct-12,13051
06-Oct-12,13017
07-Oct-12,13037
08-Oct-12,13505
09-Oct-12,13433
10-Oct-12,13427
11-Oct-12,13524
12-Oct-12,13501
13-Oct-12,13486
14-Oct-12,13495
15-Oct-12,13377
16-Oct-12,13340
17-Oct-12,13239
18-Oct-12,13225
19-Oct-12,13202
20-Oct-12,13257
21-Oct-12,13282
22-Oct-12,12962
23-Oct-12,12940
24-Oct-12,13035
25-Oct-12,13171
26-Oct-12,13146
27-Oct-12,13119
28-Oct-12,13013
29-Oct-12,13047
30-Oct-12,12964
31-Oct-12,12903
01-Nov-12,12673
02-Nov-12,12490
03-Nov-12,12297
04-Nov-12,12256
05-Nov-12,11352
06-Nov-12,11155
07-Nov-12,11099
08-Nov-12,10925
09-Nov-12,10792
10-Nov-12,10847
11-Nov-12,10709
12-Nov-12,10205
13-Nov-12,10256
14-Nov-12,10306
15-Nov-12,10167
16-Nov-12,10204
17-Nov-12,10135
18-Nov-12,10076
19-Nov-12,9965
20-Nov-12,9792
21-Nov-12,9596
